Match,Team,Start Time,Avg Edge Book,Avg Edge Odds,Avg Edge Pct,Scrape Time
Indiana Fever @ Connecticut Sun,Connecticut Sun,2025-07-15 20:00:00,Unibet,10.5,22.32,2025-07-15 18:32:32
Cerro Largo @ Central Córdoba,Cerro Largo,2025-07-15 18:00:00,Paddy Power,11.0,19.82,2025-07-15 18:32:32
Oklahoma City Thunder @ Orlando Magic,Orlando Magic,2025-07-15 18:45:00,Draftkings,4.4,6.35,2025-07-15 18:32:32
Amazonas FC @ Cuiabá,Amazonas FC,2025-07-15 18:30:00,William Hill,6.5,119.71,2025-07-15 22:46:08
Brooklyn Nets @ New York Knicks,Brooklyn Nets,2025-07-15 18:03:13,Fanduel,2.22,11.01,2025-07-15 22:46:08
Toronto Raptors @ Denver Nuggets,Denver Nuggets,2025-07-15 20:09:00,Betonline.Ag,4.37,5.35,2025-07-16 00:11:30
American League @ National League,National League,2025-07-15 20:25:00,William Hill,1.73,33.04,2025-07-16 01:00:30
América de Cali @ Bahia,América de Cali,2025-07-15 20:30:00,Draftkings,12.0,16.62,2025-07-16 01:00:30
Vasco da Gama @ Independiente del Valle,Vasco da Gama,2025-07-15 20:30:00,Coolbet,12.5,11.99,2025-07-16 01:00:30
Washington Mystics @ Los Angeles Sparks,Washington Mystics,2025-07-15 22:03:10,Caesars,19.0,39.54,2025-07-16 03:20:01
Phoenix Mercury @ Minnesota Lynx,Phoenix Mercury,2025-07-16 13:00:00,Ladbrokes,5.75,6.04,2025-07-16 09:01:22
Hokkaido Nippon-Ham Fighters @ Saitama Seibu Lions,Hokkaido Nippon-Ham Fighters,2025-07-16 05:00:00,William Hill,1.57,22.26,2025-07-16 09:33:40
Chiba Lotte Marines @ Fukuoka SoftBank Hawks,Chiba Lotte Marines,2025-07-16 05:00:25,Bovada,2.9,9.83,2025-07-16 09:33:40
Yokohama DeNA BayStars @ Hiroshima Toyo Carp,Yokohama DeNA BayStars,2025-07-16 05:01:04,Betmgm,2.7,9.76,2025-07-16 09:33:40
Tohoku Rakuten Golden Eagles @ Orix Buffaloes,Tohoku Rakuten Golden Eagles,2025-07-16 05:01:22,Mybookie.Ag,2.7,5.33,2025-07-16 10:22:30
Chunichi Dragons @ Hanshin Tigers,Chunichi Dragons,2025-07-16 05:03:13,Pinnacle,2.54,80.77,2025-07-16 10:56:46
New Zealand @ South Africa,South Africa,2025-07-16 07:00:00,Draftkings,2.25,5.66,2025-07-16 10:56:46
Bodø/Glimt @ Fredrikstad FK,Fredrikstad FK,2025-07-16 12:00:00,Betrivers,5.5,5.58,2025-07-16 11:51:44
Paul Gallen @ Sonny Bill Williams,Paul Gallen,2025-07-16 08:39:00,Unibet (It),7.0,40.99,2025-07-16 12:46:06
Bangladesh @ Sri Lanka,Bangladesh,2025-07-16 09:30:00,Tab,2.25,15.58,2025-07-16 13:54:10
Sacramento Kings @ Cleveland Cavaliers,Cleveland Cavaliers,2025-07-16 15:30:00,Draftkings,2.8,5.27,2025-07-16 14:10:31
Atlanta Dream @ Chicago Sky,Chicago Sky,2025-07-16 12:03:01,Unibet,10.0,45.1,2025-07-16 16:16:45
PFC Ludogorets Razgrad @ FC Dinamo Minsk,FC Dinamo Minsk,2025-07-16 14:45:00,Unibet,5.1,7.72,2025-07-16 17:01:08
