Match,Team,Start Time,Pinnacle Edge Book,Pinnacle Edge Odds,Pinnacle Fair Odds,Pin Edge Pct,League,Result,Scrape Time
Sligo Rovers @ Cork City,Sligo Rovers,2025-07-25 14:45:00,Pinnacle,6.09,1.0,509.0,League of Ireland,Sligo Rovers,2025-07-25 16:49:12
Bohemians @ Derry City,Derry City,2025-07-25 14:45:00,Paddy Power,26.0,4.384,493.06,League of Ireland,Draw,2025-07-25 16:49:12
Union Saint-Gilloise @ Royal Antwerp,Union Saint-Gilloise,2025-07-25 14:45:00,Winamax (FR),26.0,4.869,434.0,Belgium First Div,Draw,2025-07-25 16:49:12
Buffalo Bisons @ Columbus Clippers,Columbus Clippers,2025-07-25 18:35:00,Bovada,2.0,1.75,14.29,MiLB,Buffalo Bisons,2025-07-25 16:49:12
Miami Marlins @ Milwaukee Brewers,Miami Marlins,2025-07-25 16:11:00,BetMGM,3.1,2.932,5.75,MLB,Miami Marlins,2025-07-25 16:49:12
Omaha Storm Chasers @ Syracuse Mets,Syracuse Mets,2025-07-25 18:35:00,William Hill,2.2,1.762,24.88,MiLB,Syracuse Mets,2025-07-25 16:58:00
Lanus @ Sarmiento de Junin,Sarmiento de Junin,2025-07-25 18:00:00,Unibet,12.5,10.901,14.67,Primera División - Argentina,Lanus,2025-07-25 18:34:22
Toronto Blue Jays @ Detroit Tigers,Toronto Blue Jays,2025-07-25 19:11:00,BetMGM,2.5,2.047,22.14,MLB,Toronto Blue Jays,2025-07-25 19:19:58
Los Angeles Dodgers @ Boston Red Sox,Los Angeles Dodgers,2025-07-25 19:11:00,BetMGM,2.3,2.068,11.2,MLB,Los Angeles Dodgers,2025-07-25 19:19:58
Tampa Bay Rays @ Cincinnati Reds,Tampa Bay Rays,2025-07-25 19:11:00,FanDuel,2.18,2.036,7.06,MLB,Cincinnati Reds,2025-07-25 19:19:58
Arizona Diamondbacks @ Pittsburgh Pirates,Arizona Diamondbacks,2025-07-25 18:41:00,FanDuel,2.18,2.076,5.01,MLB,Arizona Diamondbacks,2025-07-25 19:19:58
Phoenix Mercury @ New York Liberty,New York Liberty,2025-07-25 19:33:00,Betway,1.74,1.441,20.73,WNBA,Phoenix Mercury,2025-07-25 19:35:48
San Diego Padres @ St. Louis Cardinals,San Diego Padres,2025-07-25 19:16:00,BetMGM,2.3,1.959,17.41,MLB,St. Louis Cardinals,2025-07-25 19:35:48
Colorado Rockies @ Baltimore Orioles,Colorado Rockies,2025-07-25 19:06:00,Unibet,6.1,5.254,16.1,MLB,Colorado Rockies,2025-07-25 19:35:48
Ñublense @ Deportes Limache,Draw,2025-07-25 19:00:00,Unibet (FR),3.15,2.861,10.11,Primera División - Chile,Ñublense,2025-07-25 19:35:48
Charlotte Knights @ Nashville Sounds,Nashville Sounds,2025-07-25 19:35:00,Betway,2.3,1.794,28.19,MiLB,Charlotte Knights,2025-07-25 19:48:33
Chicago Cubs @ Chicago White Sox,Chicago Cubs,2025-07-25 19:41:00,Winamax (DE),2.05,1.602,28.0,MLB,Chicago White Sox,2025-07-25 19:48:33
Philadelphia Phillies @ New York Yankees,New York Yankees,2025-07-25 19:06:00,Casumo,8.0,1.842,334.29,MLB,Philadelphia Phillies,2025-07-25 21:10:45
CF Montreal @ New England Revolution,New England Revolution,2025-07-25 19:40:00,Paddy Power,8.0,3.65,119.2,MLS,CF Montreal,2025-07-25 21:10:45
CA Tigre BA @ Union Santa Fe,CA Tigre BA,2025-07-25 20:18:00,DraftKings,7.5,5.84,28.42,Primera División - Argentina,Draw,2025-07-25 21:10:45
Atlanta Braves @ Texas Rangers,Texas Rangers,2025-07-25 20:06:00,Bovada,1.38,1.205,14.56,MLB,Texas Rangers,2025-07-25 21:10:45
Edmonton Elks @ Saskatchewan Roughriders,Edmonton Elks,2025-07-25 21:00:00,DraftKings,5.2,4.565,13.92,CFL,Edmonton Elks,2025-07-25 21:10:45
New York City FC @ FC Dallas,FC Dallas,2025-07-25 20:40:00,DraftKings,2.95,2.714,8.68,MLS,New York City FC,2025-07-25 21:10:45
Portland Timbers @ Los Angeles FC,Portland Timbers,2025-07-25 22:30:00,LowVig.ag,8.5,7.907,7.5,MLS,Portland Timbers,2025-07-25 21:10:45
Pumas @ Querétaro,Querétaro,2025-07-25 21:00:00,FanDuel,4.8,4.487,6.97,Liga MX,Pumas,2025-07-25 21:10:45
Albuquerque Isotopes @ Salt Lake Bees,Albuquerque Isotopes,2025-07-25 21:05:00,Betway,1.74,1.654,5.21,MiLB,Albuquerque Isotopes,2025-07-25 21:10:45
Santos Laguna @ Puebla,Draw,2025-07-25 21:00:00,Tipico,30.0,1.842,1528.57,Liga MX,Puebla,2025-07-25 23:00:17
New York Mets @ San Francisco Giants,San Francisco Giants,2025-07-25 22:16:00,DraftKings,3.55,2.263,56.86,MLB,New York Mets,2025-07-25 23:00:17
Dallas Wings @ Golden State Valkyries,Dallas Wings,2025-07-25 22:03:54,Bovada,2.1,1.643,27.78,WNBA,Dallas Wings,2025-07-25 23:00:17
Seattle Mariners @ Los Angeles Angels,Seattle Mariners,2025-07-25 21:39:00,MyBookie.ag,3.1,2.699,14.84,MLB,Seattle Mariners,2025-07-25 23:00:17
Nashville SC @ San Diego FC,Nashville SC,2025-07-25 22:40:00,Paddy Power,13.0,3.522,269.15,MLS,San Diego FC,2025-07-25 23:59:31
FC Juárez @ Tijuana,FC Juárez,2025-07-25 23:00:00,DraftKings,4.0,3.721,7.51,Liga MX,Draw,2025-07-25 23:59:31
Yomiuri Giants @ Hiroshima Toyo Carp,Yomiuri Giants,2025-07-26 05:00:00,William Hill,2.28,2.12,7.57,NPB,Yomiuri Giants,2025-07-26 04:53:45
Kiwoom Heroes @ NC Dinos,Kiwoom Heroes,2025-07-26 05:00:00,Tipico,2.9,2.276,27.39,KBO,NC Dinos,2025-07-26 05:09:04
Chunichi Dragons @ Tokyo Yakult Swallows,Tokyo Yakult Swallows,2025-07-26 05:00:00,Unibet,2.75,2.31,19.05,NPB,Tokyo Yakult Swallows,2025-07-26 05:09:04
SSG Landers @ Hanwha Eagles,Hanwha Eagles,2025-07-26 05:00:00,BetMGM,1.8,1.55,16.12,KBO,SSG Landers,2025-07-26 05:09:04
Chiba Lotte Marines @ Hokkaido Nippon-Ham Fighters,Chiba Lotte Marines,2025-07-26 05:00:00,BetMGM,2.65,2.31,14.72,NPB,Hokkaido Nippon-Ham Fighters,2025-07-26 05:09:04
Yokohama DeNA BayStars @ Hanshin Tigers,Yokohama DeNA BayStars,2025-07-26 05:01:41,BetMGM,2.75,2.404,14.41,NPB,Hanshin Tigers,2025-07-26 05:09:04
Saitama Seibu Lions @ Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,2025-07-26 05:00:00,BetMGM,2.35,2.08,12.97,NPB,Tohoku Rakuten Golden Eagles,2025-07-26 05:09:04
FC Anyang @ Suwon FC,FC Anyang,2025-07-26 06:00:00,Marathon Bet,3.04,2.851,6.62,K League 1,Suwon FC,2025-07-26 05:09:04
Kia Tigers @ Lotte Giants,Lotte Giants,2025-07-26 05:00:00,William Hill,1.91,1.559,22.48,KBO,Lotte Giants,2025-07-26 05:31:13
Samsung Lions @ KT Wiz,KT Wiz,2025-07-26 05:00:00,FanDuel,2.3,1.904,20.83,KBO,Samsung Lions,2025-07-26 05:31:13
LG Twins @ Doosan Bears,Doosan Bears,2025-07-26 05:00:00,DraftKings,2.24,1.943,15.29,KBO,LG Twins,2025-07-26 05:31:13
Orix Buffaloes @ Fukuoka SoftBank Hawks,Fukuoka SoftBank Hawks,2025-07-26 05:00:16,Unibet,1.81,1.694,6.83,NPB,Fukuoka SoftBank Hawks,2025-07-26 05:31:13
Geelong Cats @ North Melbourne Kangaroos,North Melbourne Kangaroos,2025-07-26 05:35:23,Marathon Bet,13.25,12.5,6.0,AFL,Geelong Cats,2025-07-26 05:31:13
Jeonbuk Hyundai Motors @ Gwangju FC,Gwangju FC,2025-07-26 06:00:00,Unibet,7.5,3.403,120.38,K League 1,Jeonbuk Hyundai Motors,2025-07-26 06:20:57
Jeju United FC @ Sangju Sangmu FC,Sangju Sangmu FC,2025-07-26 06:01:00,PointsBet (AU),2.53,2.408,5.06,K League 1,Sangju Sangmu FC,2025-07-26 06:52:37
Qingdao West Coast FC @ Shanghai SIPG FC,Qingdao West Coast FC,2025-07-26 07:00:00,Tipico,9.0,8.209,9.63,Super League - China,Draw,2025-07-26 07:19:41
Malmo FF @ IF Brommapojkarna,IF Brommapojkarna,2025-07-26 09:00:00,BetRivers,4.0,3.809,5.01,Allsvenskan - Sweden,Malmo FF,2025-07-26 07:32:02
Shenzhen Peng City FC @ Yunnan Yukun,Shenzhen Peng City FC,2025-07-26 08:00:00,FanDuel,32.0,22.052,45.11,Super League - China,Yunnan Yukun,2025-07-26 08:41:46
Beijing FC @ Chengdu Rongcheng FC,Draw,2025-07-26 07:35:00,FanDuel,5.2,4.859,7.02,Super League - China,Chengdu Rongcheng FC,2025-07-26 08:41:46
Örebro SK @ GIF Sundsvall,Örebro SK,2025-07-26 09:00:00,Bovada,2.65,1.901,39.42,Superettan - Sweden,Draw,2025-07-26 09:18:16
Górnik Zabrze @ Piast Gliwice,Górnik Zabrze,2025-07-26 08:45:00,Coolbet,3.6,3.162,13.86,Ekstraklasa - Poland,Górnik Zabrze,2025-07-26 09:18:16
FC KTP @ FC Haka,FC Haka,2025-07-26 08:00:00,Coolbet,28.0,17.383,61.08,Veikkausliiga - Finland,FC KTP,2025-07-26 09:44:47
Cercle Brugge KSV @ Dender,Dender,2025-07-26 10:00:00,Suprabets,3.23,2.905,11.19,Belgium First Div,Draw,2025-07-26 09:44:47
AC Oulu @ IFK Mariehamn,IFK Mariehamn,2025-07-26 09:01:00,Nordic Bet,3.85,3.66,5.19,Veikkausliiga - Finland,AC Oulu,2025-07-26 09:54:39
KFUM @ Kristiansund BK,Kristiansund BK,2025-07-26 10:02:00,FanDuel,9.0,4.424,103.43,Eliteserien - Norway,KFUM,2025-07-26 10:10:31
Vejle Boldklub @ FC Copenhagen,Vejle Boldklub,2025-07-26 12:00:00,Casumo,11.5,10.551,9.0,Denmark Superliga,Vejle Boldklub,2025-07-26 10:10:31
Sarpsborg FK @ Sandefjord,Sarpsborg FK,2025-07-26 10:00:00,Tipico,3.6,3.42,5.26,Eliteserien - Norway,Sandefjord,2025-07-26 10:10:31
HamKam @ Haugesund,Haugesund,2025-07-26 10:00:00,Paddy Power,26.0,3.582,625.77,Eliteserien - Norway,HamKam,2025-07-26 10:33:02
Sandvikens IF @ IK Oddevold,IK Oddevold,2025-07-26 09:00:00,FanDuel,16.0,4.64,244.81,Superettan - Sweden,Draw,2025-07-26 10:33:02
Vålerenga @ Bodø/Glimt,Vålerenga,2025-07-26 12:00:00,Coolbet,9.5,9.037,5.12,Eliteserien - Norway,Bodø/Glimt,2025-07-26 11:11:34
Umeå FC @ IK Brage,Umeå FC,2025-07-26 11:00:00,Tipico,13.0,10.127,28.37,Superettan - Sweden,Draw,2025-07-26 11:33:28
Mohammad Yahya @ Steven Nguyen,Mohammad Yahya,2025-07-26 12:35:00,PlayUp,4.2,3.803,10.44,MMA,API Error,2025-07-26 11:33:28
Motor Lublin @ Pogoń Szczecin,Pogoń Szczecin,2025-07-26 11:30:00,FanDuel,2.7,1.868,44.51,Ekstraklasa - Poland,Pogoń Szczecin,2025-07-26 11:47:24
Marcus Buchecha @ Martin Buday,Marcus Buchecha,2025-07-26 12:05:00,DraftKings,3.5,1.469,138.28,MMA,API Error,2025-07-26 12:20:17
FC Luzern @ Grasshopper Zürich,Grasshopper Zürich,2025-07-26 12:00:00,PointsBet (AU),2.9,1.849,56.81,Swiss Superleague,Grasshopper Zürich,2025-07-26 12:20:17
FC Basel @ FC St Gallen,FC St Gallen,2025-07-26 12:00:00,Coolbet,5.0,4.701,6.37,Swiss Superleague,FC Basel,2025-07-26 12:20:17
Steven Nguyen @ Mohammad Yahya,Mohammad Yahya,2025-07-26 12:31:00,Caesars,21.0,3.707,466.53,MMA,API Error,2025-07-26 12:45:02
KV Mechelen @ SV Zulte-Waregem,SV Zulte-Waregem,2025-07-26 12:17:00,Betsson,7.2,3.24,122.19,Belgium First Div,Draw,2025-07-26 12:45:02
IFK Norrkoping @ Degerfors IF,IFK Norrkoping,2025-07-26 11:31:00,Tipico,6.0,4.357,37.73,Allsvenskan - Sweden,Draw,2025-07-26 12:57:38
Davey Grant @ Da'Mon Blackshear,Davey Grant,2025-07-26 13:50:00,BetMGM,4.0,3.722,7.47,MMA,API Error,2025-07-26 12:57:38
Billy Elekana @ Ibo Aslan,Ibo Aslan,2025-07-26 12:56:00,Unibet,10.5,1.411,643.94,MMA,API Error,2025-07-26 13:16:18
Philadelphia Phillies @ New York Yankees,New York Yankees,2025-07-26 13:05:00,BetMGM,2.6,2.182,19.14,MLB,Philadelphia Phillies,2025-07-26 13:16:18
Tabatha Ricci @ Amanda Ribas,Tabatha Ricci,2025-07-26 13:25:00,BetUS,2.66,2.528,5.22,MMA,API Error,2025-07-26 13:16:18
Newells Old Boys @ Aldosivi Mar del Plata,Draw,2025-07-26 13:29:00,Bovada,2.85,2.678,6.42,Primera División - Argentina,Draw,2025-07-26 13:48:40
Muslim Salikhov @ Carlos Leal,Muslim Salikhov,2025-07-26 14:15:00,BetMGM,5.0,4.528,10.42,MMA,API Error,2025-07-26 13:55:43
Bryce Mitchell @ Said Nurmagomedov,Bryce Mitchell,2025-07-26 14:40:00,Nordic Bet,3.0,1.795,67.1,MMA,API Error,2025-07-26 14:45:40
Lech Poznań @ Lechia Gdańsk,Lechia Gdańsk,2025-07-26 14:16:00,Bovada,3.3,2.034,62.21,Ekstraklasa - Poland,Lech Poznań,2025-07-26 14:45:40
Cleveland Guardians @ Kansas City Royals,Cleveland Guardians,2025-07-26 14:41:00,BetMGM,2.15,2.047,5.03,MLB,Kansas City Royals,2025-07-26 14:45:40
Said Nurmagomedov @ Bryce Mitchell,Said Nurmagomedov,2025-07-26 10:00:00,DraftKings,19.0,2.257,741.71,MMA,API Error,2025-07-26 14:58:53
Standard Liege @ RAAL La Louvière,RAAL La Louvière,2025-07-26 14:45:00,Suprabets,6.6,3.02,118.55,Belgium First Div,Standard Liege,2025-07-26 14:58:53
Amir Abubaker @ Carl Fail,Amir Abubaker,2025-07-26 14:35:00,DraftKings,5.0,2.622,90.71,Boxing,API Error,2025-07-26 14:58:53
Servette @ BSC Young Boys,Draw,2025-07-26 14:32:00,Bovada,26.0,10.759,141.66,Swiss Superleague,Servette,2025-07-26 15:16:27
Bogdan Guskov @ Nikita Krylov,Bogdan Guskov,2025-07-26 15:10:00,Betway,2.95,2.763,6.76,MMA,API Error,2025-07-26 15:16:27
Zagłębie Lubin @ GKS Katowice,GKS Katowice,2025-07-28 13:01:00,Tipico,22.0,5.068,334.13,Ekstraklasa - Poland,Draw,2025-07-28 13:56:09
Laura Siegemund @ Tatjana Maria,Tatjana Maria,2025-07-28 11:04:00,FanDuel,8.0,3.177,151.79,WTA Canadian Open,API Error,2025-07-28 13:56:09
Anna Blinkova @ Caroline Dolehide,Caroline Dolehide,2025-07-28 12:48:00,Unibet,4.7,2.087,125.21,WTA Canadian Open,API Error,2025-07-28 13:56:09
Dalibor Svrcina @ Alexander Blockx,Alexander Blockx,2025-07-28 12:45:00,888sport,4.75,2.463,92.86,ATP Canadian Open,API Error,2025-07-28 13:56:09
Yuliia Starodubtseva @ Yafan Wang,Yafan Wang,2025-07-28 11:03:00,Bovada,2.6,1.486,74.92,WTA Canadian Open,API Error,2025-07-28 13:56:09
Pedro Martinez @ Aleksandar Vukic,Aleksandar Vukic,2025-07-28 13:06:00,Ladbrokes,2.1,1.263,66.29,ATP Canadian Open,API Error,2025-07-28 13:56:09
Daniel Altmaier @ Yosuke Watanuki,Yosuke Watanuki,2025-07-28 13:19:00,Bet Victor,4.0,2.406,66.25,ATP Canadian Open,API Error,2025-07-28 13:56:09
SonderjyskE @ FC Midtjylland,SonderjyskE,2025-07-28 13:00:00,Unibet,41.0,26.525,54.57,Denmark Superliga,SonderjyskE,2025-07-28 13:56:09
Hugo Gaston @ Mattia Bellucci,Hugo Gaston,2025-07-28 12:52:00,Bovada,12.0,9.009,33.2,ATP Canadian Open,API Error,2025-07-28 13:56:09
IFK Goteborg @ IF Elfsborg,IF Elfsborg,2025-07-28 13:00:00,Unibet,15.0,11.522,30.18,Allsvenskan - Sweden,IFK Goteborg,2025-07-28 13:56:09
Trelleborgs FF @ Västerås SK,Trelleborgs FF,2025-07-28 13:00:00,Tipico,16.0,12.848,24.54,Superettan - Sweden,Västerås SK,2025-07-28 13:56:09
Varbergs BoIS @ Helsingborgs IF,Draw,2025-07-28 13:00:00,Tipico,20.0,6.991,186.09,Superettan - Sweden,Varbergs BoIS,2025-07-28 14:51:56
Emma Raducanu @ Elena Gabriela Ruse,Elena Gabriela Ruse,2025-07-28 13:22:00,Betway,19.0,6.687,184.14,WTA Canadian Open,API Error,2025-07-28 14:51:56
Leolia Jeanjean @ Eva Lys,Leolia Jeanjean,2025-07-28 14:30:00,Bet Victor,3.4,2.416,40.75,WTA Canadian Open,API Error,2025-07-28 14:51:56
Joao Fonseca @ Tristan Schoolkate,Tristan Schoolkate,2025-07-28 14:06:00,William Hill,4.0,2.885,38.64,ATP Canadian Open,API Error,2025-07-28 14:51:56
Marie Bouzkova @ Moyuka Uchijima,Moyuka Uchijima,2025-07-28 14:45:00,DraftKings,3.6,3.355,7.3,WTA Canadian Open,API Error,2025-07-28 14:51:56
Renata Zarazua @ Katie Boulter,Renata Zarazua,2025-07-28 16:00:00,888sport,3.5,3.286,6.52,WTA Canadian Open,Not Found,2025-07-28 14:51:56
Lulu Sun @ Sorana Cirstea,Lulu Sun,2025-07-28 14:47:00,888sport,3.4,3.014,12.81,WTA Canadian Open,API Error,2025-07-28 15:10:14
Aleksandar Kovacevic @ Tristan Boyer,Tristan Boyer,2025-07-28 15:20:00,888sport,3.5,3.317,5.53,ATP Canadian Open,Not Found,2025-07-28 15:10:14
Atlético Tucuman @ Deportivo Riestra,Atlético Tucuman,2025-07-28 15:00:00,Bet Victor,4.6,4.002,14.94,Primera División - Argentina,Deportivo Riestra,2025-07-28 15:28:41
Damir Dzumhur @ Francisco Comesana,Damir Dzumhur,2025-07-28 15:10:18,Coolbet,3.03,2.684,12.9,ATP Canadian Open,Not Found,2025-07-28 15:28:41
Camilo Ugo Carabelli @ Roberto Carballes Baena,Roberto Carballes Baena,2025-07-28 16:20:00,LowVig.ag,2.2,2.016,9.15,ATP Canadian Open,Not Found,2025-07-28 15:28:41
Universidad de Chile @ Union La Calera,Draw,2025-07-28 18:00:00,BetRivers,3.95,3.707,6.54,Primera División - Chile,Not Found,2025-07-28 15:28:41
Adrian Mannarino @ Marcos Giron,Marcos Giron,2025-07-28 15:20:00,Ladbrokes,1.65,1.47,12.21,ATP Canadian Open,Not Found,2025-07-28 15:41:59
Lucia Bronzetti @ Elizabeth Mandlik,Lucia Bronzetti,2025-07-28 16:50:00,Coolbet,1.78,1.664,6.98,WTA Canadian Open,Not Found,2025-07-28 16:56:09
Defensa y Justicia @ Central Córdoba,Defensa y Justicia,2025-07-28 16:59:00,DraftKings,12.0,7.829,53.28,Primera División - Argentina,Not Found,2025-07-28 17:32:58
Matteo Gigante @ Borna Coric,Matteo Gigante,2025-07-28 17:10:00,Ladbrokes,2.25,2.103,7.01,ATP Canadian Open,Not Found,2025-07-28 17:32:58
Botafogo @ Avai,Draw,2025-07-28 18:02:00,Tipico,20.0,2.958,576.17,Brazil Série B,Not Found,2025-07-28 18:27:58
Anastasija Sevastova @ Ajla Tomljanovic,Ajla Tomljanovic,2025-07-28 18:28:00,Coolbet,1.56,1.299,20.13,WTA Canadian Open,Not Found,2025-07-28 18:48:23
Arizona Diamondbacks @ Detroit Tigers,Arizona Diamondbacks,2025-07-28 18:40:16,GTbets,2.45,2.212,10.74,MLB,Not Found,2025-07-28 18:48:23
Toronto Blue Jays @ Baltimore Orioles,Toronto Blue Jays,2025-07-28 18:36:15,Unibet,2.18,2.027,7.57,MLB,Not Found,2025-07-28 18:58:44
Barracas Central @ Banfield,Banfield,2025-07-28 18:59:00,LiveScore Bet,6.1,2.734,123.11,Primera División - Argentina,Not Found,2025-07-28 19:22:04
Pablo Carreno Busta @ Liam Draxl,Pablo Carreno Busta,2025-07-28 19:03:00,Ladbrokes,5.0,2.624,90.53,ATP Canadian Open,Not Found,2025-07-28 19:22:04
Los Angeles Dodgers @ Cincinnati Reds,Cincinnati Reds,2025-07-28 19:10:32,BetMGM,2.65,2.326,13.95,MLB,Not Found,2025-07-28 19:22:04
Seattle Storm @ Connecticut Sun,Connecticut Sun,2025-07-28 19:03:32,Caesars,23.0,7.126,222.76,WNBA,Not Found,2025-07-28 19:40:44
