Match,Start Time,Team,Last Update,Fanduel,Draftkings,Betrivers,Fanatics,Pinnacle,Mybookie.Ag,Betsson,Nordic Bet,Parions Sport (Fr),1Xbet,Caesars,William Hill,Betus,Tipico,Betonline.Ag,Lowvig.Ag,888Sport,Coolbet,Unibet,Betway,Boylesports,Bovada,Coral,Betmgm,Everygame,Tabtouch,Paddy Power,Livescore Bet,Virgin Bet,Neds,Tab,Ladbrokes,Pointsbet (Au),Betr,Sportsbet,Bet Right,Gtbets,Marathon Bet,Leovegas,Grosvenor,Casumo,Unibet (Fr),Unibet (It),Unibet (Nl),Bet Victor,Betanysports,Playup,Winamax (De),Winamax (Fr),Betclic (Fr),Best Odds,Vigfree Fanduel,Vigfree Draftkings,Vigfree Betrivers,Vigfree Fanatics,Vigfree Pinnacle,Vigfree Mybookie.Ag,Vigfree Betsson,Vigfree Nordic Bet,Vigfree Parions Sport (Fr),Vigfree 1Xbet,Vigfree Caesars,Vigfree William Hill,Vigfree Betus,Vigfree Tipico,Vigfree Betonline.Ag,Vigfree Lowvig.Ag,Vigfree 888Sport,Vigfree Coolbet,Vigfree Unibet,Vigfree Betway,Vigfree Boylesports,Vigfree Bovada,Vigfree Coral,Vigfree Betmgm,Vigfree Everygame,Vigfree Tabtouch,Vigfree Paddy Power,Vigfree Livescore Bet,Vigfree Virgin Bet,Vigfree Neds,Vigfree Tab,Vigfree Ladbrokes,Vigfree Pointsbet (Au),Vigfree Betr,Vigfree Sportsbet,Vigfree Bet Right,Vigfree Gtbets,Vigfree Marathon Bet,Vigfree Leovegas,Vigfree Grosvenor,Vigfree Casumo,Vigfree Unibet (Fr),Vigfree Unibet (It),Vigfree Unibet (Nl),Vigfree Bet Victor,Vigfree Betanysports,Vigfree Playup,Vigfree Winamax (De),Vigfree Winamax (Fr),Vigfree Betclic (Fr),Vigfree Best Odds
Milwaukee Bucks @ Los Angeles Clippers,2025-07-13 21:50:12,Los Angeles Clippers,2025-07-13 23:09:40,1.19,1.21,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.7908611599297013,0.7783882783882784,0.7999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7917383820998279
Milwaukee Bucks @ Los Angeles Clippers,2025-07-13 21:50:12,Milwaukee Bucks,2025-07-13 23:09:40,4.5,4.25,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,0.20913884007029876,0.22161172161172163,0.19999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20826161790017214
Golden State Warriors @ Utah Jazz,2025-07-13 22:48:18,Golden State Warriors,2025-07-13 23:09:40,2.04,1.95,1.83,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,0.4631578947368421,0.48,0.5,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4728682170542636
Golden State Warriors @ Utah Jazz,2025-07-13 22:48:18,Utah Jazz,2025-07-13 23:09:40,1.76,1.8,1.83,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,0.536842105263158,0.5199999999999999,0.5,0.5199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5271317829457364
Hokkaido Nippon-Ham Fighters @ Saitama Seibu Lions,2025-07-14 05:00:00,Hokkaido Nippon-Ham Fighters,2025-07-13 23:09:30,1.82,1.82,1.83,1.83,1.83,1.79,1.82,1.82,1.68,1.82,1.8,1.8,1.83,1.72,1.77,1.77,1.8,1.83,1.85,1.74,1.8,1.77,1.8,1.83,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,0.5235602094240838,0.5260416666666667,0.5080645161290323,0.5221932114882506,0.5307692307692307,0.5226666666666666,0.5235602094240838,0.5235602094240838,0.5213675213675214,0.5248041775456919,0.5199999999999999,0.5148247978436657,0.5106951871657753,0.5376344086021505,0.5305039787798408,0.5305039787798408,0.5148247978436657,0.5246753246753246,0.5079787234042553,0.5284552845528455,0.5199999999999999,0.5305039787798408,0.5148247978436657,0.5158730158730157,0.527027027027027,,,,,,,,,,,,,,,,,,,,,,,,,,0.5280612244897959
Hokkaido Nippon-Ham Fighters @ Saitama Seibu Lions,2025-07-14 05:00:00,Saitama Seibu Lions,2025-07-13 23:09:30,2.0,2.02,1.89,2.0,2.07,1.96,2.0,2.0,1.83,2.01,1.95,1.91,1.91,2.0,2.0,2.0,1.91,2.02,1.91,1.95,1.95,2.0,1.91,1.95,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,0.4764397905759163,0.4739583333333334,0.49193548387096786,0.47780678851174935,0.46923076923076923,0.47733333333333333,0.4764397905759163,0.4764397905759163,0.47863247863247865,0.47519582245430814,0.48,0.4851752021563342,0.48930481283422456,0.4623655913978494,0.4694960212201591,0.4694960212201591,0.4851752021563342,0.47532467532467537,0.49202127659574474,0.4715447154471546,0.48,0.4694960212201591,0.4851752021563342,0.48412698412698413,0.47297297297297297,,,,,,,,,,,,,,,,,,,,,,,,,,0.47193877551020413
India @ England,2025-07-14 06:00:00,England,2025-07-13 23:10:09,,,2.55,,,,,,,,,,,,,,,,2.55,2.4,,,,,,2.5,2.5,2.55,2.55,2.5,2.4,2.5,2.55,2.5,,,,,,,,,,,,,,,,,2.55,,,0.3684612977926387,,,,,,,,,,,,,,,,0.3699758522795738,0.3869188178904107,,,,,,0.37155119558553035,0.37611809519173434,0.3714828664255502,0.3714828664255502,0.37575717887430016,0.3899728410283753,0.37575717887430016,0.36921189819073913,0.37360456462416275,,,,,,,,,,,,,,,,,0.3768418544447833
India @ England,2025-07-14 06:00:00,India,2025-07-13 23:10:09,,,1.51,,,,,,,,,,,,,,,,1.52,1.53,,,,,,1.5,1.53,1.53,1.53,1.52,1.55,1.52,1.5,1.5,,,,,,,,,,,,,,,,,1.55,,,0.6222359664710124,,,,,,,,,,,,,,,,0.6206831732321797,0.6069314790437814,,,,,,0.6192519926425506,0.6145720509668862,0.6191381107092503,0.6191381107092503,0.6180216757800989,0.6038289151407101,0.6180216757800989,0.6276602269242564,0.6226742743736046,,,,,,,,,,,,,,,,,0.6199656315059338
India @ England,2025-07-14 06:00:00,Draw,2025-07-13 23:10:09,,,101.0,,,,,,,,,,,,,,,,101.0,151.0,,,,,,101.0,101.0,101.0,101.0,151.0,151.0,151.0,301.0,251.0,,,,,,,,,,,,,,,,,301.0,,,0.009302735736348797,,,,,,,,,,,,,,,,0.009340974488246664,0.006149703065807852,,,,,,0.009196811771919068,0.009309853841379561,0.009379022865199534,0.009379022865199534,0.006221145345600996,0.006198243830914574,0.006221145345600996,0.0031278748850046,0.0037211610022326964,,,,,,,,,,,,,,,,,0.0031925140492830477
South Africa @ Zimbabwe,2025-07-14 07:00:00,South Africa,2025-07-13 23:09:46,1.2,1.24,,,,,1.2,1.2,,,,1.2,,,1.22,,,,1.2,1.2,1.2,,,,,1.2,1.2,1.2,1.2,1.22,1.22,1.22,1.23,1.22,1.18,1.23,1.23,1.21,1.15,1.2,1.2,,,,,,,,,,1.24,0.7931034482758621,0.7677902621722846,,,,,0.7692307692307692,0.7692307692307692,,,,0.7894736842105263,,,0.7863397548161121,,,,0.7876106194690266,0.7692307692307692,0.783001808318264,,,,,0.7876106194690266,0.7894736842105263,0.7876106194690266,0.7876106194690266,0.7749077490774907,0.7749077490774907,0.7749077490774907,0.7734806629834253,0.7662835249042146,0.7993197278911565,0.7755474452554744,0.7849650349650349,0.7803992740471869,0.7850467289719626,0.7876106194690266,0.7876106194690266,,,,,,,,,,0.7912457912457913
